title,author,isbn,category,totalCopies,availableCopies,publishedYear
Gilead,Marilynne Robinson,0002005883,Fiction,100,100,2004
Spider's Web,Charles Osborne;Agatha Christie,0002261987,Detective and mystery stories,100,100,2000
The One Tree,Stephen R. Donaldson,0006163831,American fiction,100,100,1982
Rage of angels,Sidney Sheldon,0006178731,Fiction,100,100,1993
The Four Loves,Clive Staples Lewis,0006280897,Christian life,100,100,2002
The Problem of Pain,Clive Staples Lewis,0006280935,Christian life,100,100,2002
An Autobiography,Agatha Christie,0006353282,"Authors, English",100,100,1977
Empires of the Monsoon,Richard Hall,0006380832,"Africa, East",100,100,1998
The Gap Into Madness,Stephen R. Donaldson,000647022X,"Hyland, Morn (Fictitious character)",100,100,1994
Master of the Game,Sidney Sheldon,0006472613,Adventure stories,100,100,1982
If Tomorrow Comes,Sidney Sheldon,0006479677,Adventure stories,100,100,1994
Assassin's Apprentice,Robin Hobb,0006480098,American fiction,100,100,1996
Warhost of Vastmark,Janny Wurts,0006482074,Fiction,100,100,1995
The Once and Future King,Terence Hanbury White,0006483011,Arthurian romances,100,100,1996
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,0006483895,Adventure stories,100,100,2003
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,0006483909,Fantasy fiction,100,100,2003
Well of Darkness,Margaret Weis;Tracy Hickman,0006486142,nan,100,100,2001
Witness for the Prosecution & Selected Plays,Agatha Christie,000649045X,English drama,100,100,1995
The Little House,Philippa Gregory,0006496431,Country life,100,100,1998
Mystical Paths,Susan Howatch,0006496873,English fiction,100,100,1996
Glittering Images,Susan Howatch,000649689X,English fiction,100,100,1996
Glamorous Powers,Susan Howatch,000649692X,Clergy,100,100,1996
The Mad Ship,Robin Hobb,0006498868,Fantasy fiction,100,100,2000
Post Captain,Patrick O'Brian,0006499163,"Aubrey, Jack (Fictitious character)",100,100,1996
The Reverse of the Medal,Patrick O'Brian,0006499260,Adventure stories,100,100,1997
Miss Marple,Agatha Christie,0006499627,"Detective and mystery stories, English",100,100,1997
The Years of Rice and Salt,Kim Stanley Robinson,0006511481,Black Death,100,100,2003
